Categoria: Todas as categorias

Semana,"""Cientista de dados"": (Mundo)","""Análise de dados"": (Mundo)","""Analista de dados"": (Mundo)","""Ciência de dados"": (Mundo)"
2022-05-01,65,73,62,31
2022-05-08,60,60,81,24
2022-05-15,38,74,86,31
2022-05-22,61,80,78,15
2022-05-29,68,73,68,39
2022-06-05,54,89,58,39
2022-06-12,57,72,47,16
2022-06-19,45,71,72,40
2022-06-26,60,59,83,34
2022-07-03,39,64,52,37
2022-07-10,39,65,76,29
2022-07-17,52,53,90,32
2022-07-24,64,36,55,36
2022-07-31,59,54,61,36
2022-08-07,35,38,75,15
2022-08-14,53,58,77,34
2022-08-21,43,81,89,28
2022-08-28,54,99,71,41
2022-09-04,48,93,64,30
2022-09-11,54,68,81,31
2022-09-18,56,76,71,28
2022-09-25,47,92,64,37
2022-10-02,41,76,61,33
2022-10-09,42,46,69,28
2022-10-16,57,58,71,28
2022-10-23,46,92,79,35
2022-10-30,51,78,56,28
2022-11-06,48,77,73,33
2022-11-13,47,58,74,19
2022-11-20,41,66,58,21
2022-11-27,52,60,89,34
2022-12-04,54,58,65,26
2022-12-11,31,59,63,39
2022-12-18,40,38,79,25
2022-12-25,44,28,66,12
2023-01-01,53,46,94,41
2023-01-08,40,44,95,18
2023-01-15,46,45,100,29
2023-01-22,38,42,74,24
2023-01-29,55,41,77,39
2023-02-05,57,41,88,45
2023-02-12,59,53,87,56
2023-02-19,42,47,68,34
2023-02-26,55,74,81,46
2023-03-05,46,65,54,24
2023-03-12,59,77,72,38
2023-03-19,58,58,67,35
2023-03-26,60,79,98,40
2023-04-02,46,67,91,33
2023-04-09,40,74,72,26
2023-04-16,49,58,87,26
2023-04-23,58,81,98,25
2023-04-30,41,92,90,36
